data;cidade;casos;obitos
01/01/2021;Paulista;1;0
02/01/2021;Paulista;1;0
03/01/2021;Paulista;0;0
04/01/2021;Paulista;0;0
05/01/2021;Paulista;6;0
06/01/2021;Paulista;0;0
07/01/2021;Paulista;5;0
08/01/2021;Paulista;2;0
09/01/2021;Paulista;6;0
10/01/2021;Paulista;0;0
12/01/2021;Paulista;0;0
13/01/2021;Paulista;2;0
14/01/2021;Paulista;7;0
15/01/2021;Paulista;4;0
16/01/2021;Paulista;1;0
17/01/2021;Paulista;0;0
18/01/2021;Paulista;0;0
19/01/2021;Paulista;0;0
20/01/2021;Paulista;0;0
21/01/2021;Paulista;5;0
22/01/2021;Paulista;2;0
23/01/2021;Paulista;2;0
24/01/2021;Paulista;6;0
25/01/2021;Paulista;0;0
26/01/2021;Paulista;0;0
27/01/2021;Paulista;0;0
28/01/2021;Paulista;0;0
29/01/2021;Paulista;4;0
30/01/2021;Paulista;0;0
31/01/2021;Paulista;1;0
01/02/2021;Paulista;0;0
02/02/2021;Paulista;0;0
03/02/2021;Paulista;1;0
04/02/2021;Paulista;2;0
05/02/2021;Paulista;1;0
06/02/2021;Paulista;0;0
07/02/2021;Paulista;0;0
08/02/2021;Paulista;2;0
09/02/2021;Paulista;1;0
10/02/2021;Paulista;1;0
11/02/2021;Paulista;2;0
12/02/2021;Paulista;0;0
13/02/2021;Paulista;0;0
14/02/2021;Paulista;0;0
15/02/2021;Paulista;1;0
16/02/2021;Paulista;2;0
17/02/2021;Paulista;0;0
18/02/2021;Paulista;5;0
19/02/2021;Paulista;2;1
20/02/2021;Paulista;0;0
21/02/2021;Paulista;2;0
22/02/2021;Paulista;1;0
23/02/2021;Paulista;0;0
24/02/2021;Paulista;3;0
25/02/2021;Paulista;14;0
26/02/2021;Paulista;0;0
27/02/2021;Paulista;1;0
28/02/2021;Paulista;3;0
01/03/2021;Paulista;1;0
02/03/2021;Paulista;1;0
04/03/2021;Paulista;1;0
05/03/2021;Paulista;0;0
06/03/2021;Paulista;0;0
07/03/2021;Paulista;9;0
08/03/2021;Paulista;0;0
09/03/2021;Paulista;8;1
10/03/2021;Paulista;2;0
11/03/2021;Paulista;5;0
12/03/2021;Paulista;7;0
13/03/2021;Paulista;0;0
01/01/2021;Paulista;27;1
02/01/2021;Paulista;8;1
04/01/2021;Paulista;18;2
05/01/2021;Paulista;18;2
06/01/2021;Paulista;63;0
07/01/2021;Paulista;39;3
08/01/2021;Paulista;29;3
09/01/2021;Paulista;24;0
10/01/2021;Paulista;25;2
11/01/2021;Paulista;6;0
12/01/2021;Paulista;27;2
13/01/2021;Paulista;38;0
14/01/2021;Paulista;33;1
15/01/2021;Paulista;25;0
16/01/2021;Paulista;21;7
17/01/2021;Paulista;9;0
18/01/2021;Paulista;16;0
19/01/2021;Paulista;23;1
20/01/2021;Paulista;17;0
21/01/2021;Paulista;34;0
22/01/2021;Paulista;19;1
23/01/2021;Paulista;30;1
24/01/2021;Paulista;14;0
25/01/2021;Paulista;8;1
26/01/2021;Paulista;28;1
27/01/2021;Paulista;16;1
28/01/2021;Paulista;23;1
29/01/2021;Paulista;14;2
30/01/2021;Paulista;23;3
31/01/2021;Paulista;9;0
01/02/2021;Paulista;2;1
02/02/2021;Paulista;9;1
03/02/2021;Paulista;19;1
04/02/2021;Paulista;33;0
05/02/2021;Paulista;11;3
06/02/2021;Paulista;16;0
07/02/2021;Paulista;15;1
08/02/2021;Paulista;9;0
09/02/2021;Paulista;16;1
10/02/2021;Paulista;11;0
11/02/2021;Paulista;18;4
12/02/2021;Paulista;17;5
13/02/2021;Paulista;27;2
14/02/2021;Paulista;13;0
15/02/2021;Paulista;4;0
16/02/2021;Paulista;30;0
17/02/2021;Paulista;34;2
18/02/2021;Paulista;12;0
19/02/2021;Paulista;14;0
20/02/2021;Paulista;13;5
21/02/2021;Paulista;8;0
22/02/2021;Paulista;9;1
23/02/2021;Paulista;20;0
24/02/2021;Paulista;24;0
25/02/2021;Paulista;17;1
26/02/2021;Paulista;24;0
27/02/2021;Paulista;27;1
28/02/2021;Paulista;9;0
02/03/2021;Paulista;41;1
03/03/2021;Paulista;18;2
04/03/2021;Paulista;23;4
05/03/2021;Paulista;26;0
06/03/2021;Paulista;27;3
07/03/2021;Paulista;8;4
08/03/2021;Paulista;2;0
09/03/2021;Paulista;16;2
10/03/2021;Paulista;22;0
